[EXP] 0: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (4, 0.6666666666666666)] 
[EXP] 161: [sr]: 0, [score]: 0.1, [grounding_acc]: 1.0, [score_state]: [(1, 0.03333333333333333), (2, 0.058333333333333334), (5, 0.1)] 
[EXP] 162: [sr]: 0, [score]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (3, 0.7777777777777778)] 
[EXP] 163: [sr]: 0, [score]: 0.26666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.24444444444444444), (5, 0.26666666666666666)] 
[EXP] 164: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 0.9166666666666666)] 
[EXP] 165: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 166: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 167: [sr]: 0, [score]: 0.4, [grounding_acc]: 1.0, [score_state]: [(1, 0.13333333333333333), (2, 0.26666666666666666), (3, 0.4)] 
[EXP] 168: [sr]: 0, [score]: 0.6, [grounding_acc]: 1.0, [score_state]: [(1, 0.19999999999999998), (2, 0.39999999999999997), (5, 0.6)] 
[EXP] 169: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 170: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 171: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.3333333333333333), (5, 0.6666666666666666)] 
[EXP] 172: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (5, 0.6666666666666666), (8, 0.8888888888888888)] 
[EXP] 173: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(3, 0.3333333333333333), (4, 0.6666666666666666), (5, 1.0)] 
[EXP] 174: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.3333333333333333), (5, 0.41666666666666663), (6, 0.6666666666666666), (8, 0.9166666666666666)] 
[EXP] 175: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 176: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 177: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 178: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 179: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 180: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 181: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.4444444444444444), (4, 0.6666666666666666)] 
[EXP] 182: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 183: [sr]: 0, [score]: 0.8333333333333333, [grounding_acc]: 0.6666666666666666, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 0.8333333333333333)] 
[EXP] 184: [sr]: 0, [score]: 0.26666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.24444444444444444), (3, 0.26666666666666666)] 
[EXP] 185: [sr]: 0, [score]: 0.0, [grounding_acc]: 0.8571428571428571, [score_state]: [] 
[EXP] 186: [sr]: 0, [score]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5833333333333333), (4, 0.8333333333333333)] 
[EXP] 187: [sr]: 0, [score]: 0.8333333333333333, [grounding_acc]: 0.8888888888888888, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (6, 0.5), (7, 0.5833333333333333), (8, 0.8333333333333333)] 
[EXP] 188: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.5), (3, 0.75)] 
[EXP] 189: [sr]: 0, [score]: 0.4666666666666667, [grounding_acc]: 0.13333333333333333, [score_state]: [(1, 0.26666666666666666), (2, 0.4666666666666667)] 
[EXP] 190: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (3, 0.6666666666666666)] 
[EXP] 191: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 192: [sr]: 0, [score]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (5, 0.7777777777777778)] 
[EXP] 193: [sr]: 1, [score]: 1.0, [grounding_acc]: 0.9090909090909091, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (10, 1.0)] 
[EXP] 194: [sr]: 0, [score]: 0.39999999999999997, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.36666666666666664), (4, 0.39999999999999997)] 
[EXP] 195: [sr]: 0, [score]: 0.2444444444444444, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.2333333333333333), (3, 0.2444444444444444)] 
[EXP] 196: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 197: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (6, 1.0)] 
[EXP] 198: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 199: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (4, 0.5)] 
[EXP] 200: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (5, 0.75)] 
[EXP] 201: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 202: [sr]: 0, [score]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (4, 0.5833333333333333)] 
[EXP] 203: [sr]: 0, [score]: 0.5333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.19999999999999998), (2, 0.39999999999999997), (4, 0.5333333333333333)] 
[EXP] 204: [sr]: 0, [score]: 0.25, [grounding_acc]: 0.8571428571428571, [score_state]: [(1, 0.08333333333333333), (2, 0.16666666666666666), (6, 0.25)] 
[EXP] 205: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.5), (4, 0.75)] 
[EXP] 206: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 207: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 208: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.5), (4, 0.75)] 
[EXP] 209: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 210: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 211: [sr]: 0, [score]: 0.8, [grounding_acc]: 0.9, [score_state]: [(1, 0.19999999999999998), (2, 0.39999999999999997), (6, 0.4666666666666667), (9, 0.8)] 
[EXP] 212: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 213: [sr]: 0, [score]: 0.25, [grounding_acc]: 1.0, [score_state]: [(1, 0.08333333333333333), (2, 0.16666666666666666), (4, 0.25)] 
[EXP] 214: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.4444444444444444), (5, 0.6666666666666666)] 
[EXP] 215: [sr]: 0, [score]: 0.8333333333333333, [grounding_acc]: 0.9, [score_state]: [(1, 0.16666666666666666), (2, 0.25), (6, 0.41666666666666663), (7, 0.5833333333333333), (9, 0.8333333333333333)] 
[EXP] 216: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 217: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (8, 0.6666666666666666)] 
[EXP] 218: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 219: [sr]: 0, [score]: 0.4, [grounding_acc]: 1.0, [score_state]: [(1, 0.13333333333333333), (2, 0.26666666666666666), (4, 0.4)] 
[EXP] 220: [sr]: 0, [score]: 0.08333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.08333333333333333)] 
[EXP] 221: [sr]: 0, [score]: 0.25, [grounding_acc]: 1.0, [score_state]: [(1, 0.08333333333333333), (2, 0.16666666666666666), (4, 0.25)] 
[EXP] 222: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 223: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 224: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 225: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 0.9090909090909091, [score_state]: [(1, 0.16666666666666666), (2, 0.2777777777777778), (6, 0.3333333333333333), (10, 0.6666666666666666)] 
[EXP] 226: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (4, 0.75)] 
[EXP] 227: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 228: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 229: [sr]: 0, [score]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (3, 0.7777777777777778)] 
[EXP] 230: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 0.5, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (19, 0.6666666666666666)] 
[EXP] 231: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 232: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (4, 0.5)] 
[EXP] 233: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 234: [sr]: 0, [score]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.41666666666666663), (5, 0.5833333333333333)] 
[EXP] 235: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 236: [sr]: 0, [score]: 0.16666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666)] 
[EXP] 237: [sr]: 0, [score]: 0.13333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.13333333333333333)] 
[EXP] 238: [sr]: 0, [score]: 0.4444444444444444, [grounding_acc]: 0.1, [score_state]: [(1, 0.3333333333333333), (2, 0.4444444444444444)] 
[EXP] 239: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 240: [sr]: 0, [score]: 0.39999999999999997, [grounding_acc]: 0.13333333333333333, [score_state]: [(1, 0.19999999999999998), (2, 0.39999999999999997)] 
[EXP] 241: [sr]: 0, [score]: 0.3777777777777777, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.3555555555555555), (4, 0.3777777777777777)] 
[EXP] 242: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 0.9, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (6, 0.5555555555555556), (7, 0.6666666666666666), (9, 0.8888888888888888)] 
[EXP] 243: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 244: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (4, 0.75)] 
[EXP] 245: [sr]: 0, [score]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.8333333333333333)] 
[EXP] 246: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 247: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 248: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 249: [sr]: 0, [score]: 0.3777777777777777, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.3555555555555555), (4, 0.3777777777777777)] 
[EXP] 250: [sr]: 0, [score]: 0.7777777777777778, [grounding_acc]: 0.7142857142857143, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (6, 0.7777777777777778)] 
